artists,genres
au5,"['brostep', 'chillstep', 'complextro', 'dubstep', 'electro house', 'filthstep', 'gaming edm', 'melodic dubstep']"
the protomen,"['nerdcore', 'nightrun']"
the flashbulb,"['ambient idm', 'breakcore', 'drill and bass', 'intelligent dance music']"
shake,['dark trap']
the noisy freaks,"['complextro', 'electro trash']"
seamlessr,[]
chipzel,"['chiptune', 'speedrun']"
darude,"['eurodance', 'finnish edm']"
ekstrak,[]
pronobozo,[]
the humble brothers,[]
sapphire,[]
disarmonia mundi,"['cyber metal', 'italian death metal', 'melodic death metal']"
zynthetic,['future rock']
stonebank,"['brostep', 'complextro', 'gaming edm']"
the living tombstone,"['otacore', 'pixel', 'pov: indie']"
kid2will,[]
brusspup,[]
patric catani,[]
break of reality,['cello']
third dimension doorknob,['chiptune']
illidiance,"['charred death', 'cyber metal']"
hadouken!,"['dance-punk', 'new rave']"
ki:theory,['electronic rock']
natewantstobattle,"['antiviral pop', 'otacore']"
magic sword,['synthwave']
hyperduck soundworks,['video game music']
the bloody beetroots,"['dance-punk', 'electro house', 'fidget house', 'filter house']"
seven lions,"['brostep', 'complextro', 'dubstep', 'edm', 'electro house', 'melodic dubstep', 'pop dance', 'progressive trance']"
alex s.,"['philly indie', 'pov: indie', 'slacker rock']"
mick gordon,"['electronic djent', 'video game music']"
cliff lin,['deep disco']
semargl,['ukrainian metal']
madeon,"['complextro', 'edm', 'electro house', 'electropop', 'filter house', 'nantes indie', 'pop dance']"
patient zero,['sad lo-fi']
twrp,['nightrun']
good blood,[]
starcadian,['synthwave']
black sun empire,"['darkstep', 'drill and bass', 'drum and bass', 'dutch dnb', 'neurofunk']"
lost horizon,"['melodic metal', 'neo classical metal', 'power metal', 'progressive power metal', 'swedish power metal']"
our stolen theory,[]
bighead,[]
l plus,"['reggaeton', 'trap latino', 'urbano latino']"
patryk scelina,['epicore']
ludovico technique,['industrial metal']
skyhill,[]
ginger runner,[]
svidden,[]
silva hound,['otacore']
andy whitby,['hard house']
boyinaband,"['antiviral pop', 'otacore', 'pixel']"
marcus d,['ambeat']
scattle,['darksynth']
dreamwallow,['lo-fi vgm']
bliss n eso,['australian hip hop']
dm dokuro,"['pixel', 'video game music']"
rmaster,"['anime piano', 'scorecore']"
jonas steur,"['deep progressive trance', 'trance']"
jonathan parecki,['otacore']
eric speed,['pop violin']
crusher-p,"['otacore', 'pixel', 'vocaloid']"
modulation,[]
matt fuss,['japanese vgm']
fps allstars,[]
bassoonify,[]
jade arcade,['pixel']
tifita,['anime piano']
gamelark,[]
agordas,[]
nobuo uematsu,"['chiptune', 'japanese classical', 'japanese vgm', 'orchestral soundtrack', 'video game music']"
fantasy reborn,['japanese vgm']
kannamix,[]
daft punk,"['electro', 'filter house', 'rock']"
bradio,"['j-poprock', 'otacore']"
le matos,"['montreal indie', 'synthwave']"
combichrist,"['aggrotech', 'ebm', 'industrial metal', 'industrial rock']"
ali murray,[]
michael protopsaltis and the deipnosofistes,[]
emm gryner,"['canadian indie', 'ectofolk', 'lilith']"
michael marc,[]
book of black earth,"['neo-crust', 'usbm']"
kazushige nojima,[]
king of soliloquy,[]
thunder moose,[]
lowryder,[]
bonnie prince billy,"['alternative country', 'chamber pop', 'melancholia', 'singer-songwriter']"
the offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']"
darren korb,"['indie game soundtrack', 'video game music']"
the silent partner,[]
dope arcade,[]
cinder,"['album rock', 'glam metal', 'hard rock']"
kontrust,['austrian metal']
rogue,"['bay area indie', 'chamber pop', 'indie rock', 'noise pop', 'oakland indie', 'shimmer pop', 'stomp and holler']"
if these trees could talk,"['american post-rock', 'instrumental post-rock', 'post-metal', 'post-rock']"
borialis,"['rap metalcore', 'rap rock']"
battle beast,"['finnish heavy metal', 'finnish power metal', 'gothic symphonic metal', 'power metal', 'symphonic metal']"
an endless sporadic,[]
galneryus,"['j-metal', 'japanese power metal', 'visual kei']"
fmlybnd,['metropopolis']
high maintenance,['dancefloor dnb']
owl city,"['indietronica', 'pop']"
red vox,[]
johnny hollow,"['dark cabaret', 'steampunk']"
rusty k,['russian dnb']
mindless self indulgence,"['dance-punk', 'pov: indie']"
tina guo,['cello']
widek,"['djent', 'instrumental djent', 'instrumental rock']"
nestalgica,['scorecore']
sega sound team,"['japanese vgm', 'sound team', 'video game music']"
suicide commando,"['aggrotech', 'ebm', 'electro-industrial', 'industrial metal']"
black tide,['miami metal']
sidewalks and skeletons,"['wave', 'witch house']"
random encounter,"['otacore', 'pixel']"
ne obliviscaris,"['australian metal', 'avant-garde metal', 'melodic death metal', 'progressive metal']"
dunderpatrullen,"['bitpop', 'chiptune']"
stepcat,['electro swing']
sie sound team,"['japanese vgm', 'sound team', 'video game music']"
freigeist,[]
el huervo,[]
cool joke,[]
the oneups,"['gamecore', 'scorecore']"
dredg,['progressive alternative']
rishloo,['progressive metal']
karma fields,"['canadian electronic', 'complextro', 'gaming edm']"
no more kings,"['geek rock', 'nerdcore']"
lenich & kirya,"['pixel', 'vgm remix']"
suck at love,['Unknown']
robots with rayguns,['synthwave']
1000say,[]
urban contact,[]
megadriver,['brazilian heavy metal']
kodomo,"['ambient idm', 'space ambient']"
infinite harmony,[]
dream theater,"['metal', 'progressive metal']"
tunedef,[]
azedia,"['chillstep', 'melodic dubstep']"
all off,"['j-poprock', 'japanese pop punk']"
the enigma tng,"['cyberpunk', 'sci-fi metal']"
the shanghai restoration project,['chinese electronic']
1200 micrograms,"['goa psytrance', 'psychedelic trance']"
the adventures of duane & brando,"['comedy rap', 'nerdcore']"
haywyre,"['canadian electronic', 'complextro', 'future bass', 'vapor twitch']"
blood command,"['norwegian alternative rock', 'norwegian rock']"
lucky hz,[]
chaotica,['neo-industrial rock']
iamsleepless,[]
robot science,[]
monoral,[]
waterflame,['speedrun']
jin,[]
emma hewitt,"['trance', 'vocal trance']"
in uchronia,[]
talla 2xlc vs. sean tyas,[]
nigel good,['progressive trance house']
psychic type,[]
ghost data,['future funk']
overwerk,"['canadian electronic', 'complextro']"
ogre sound,"['cyberpunk', 'synthwave']"
goldfish,"['cape town indie', 'downtempo', 'south african pop', 'south african pop dance']"
paul hartnoll,[]
enyo,[]
a-trak,"['canadian electronic', 'edm', 'electro house', 'electronic trap', 'fidget house', 'house', 'turntablism']"
lildeucedeuce,"['antiviral pop', 'otacore', 'pixel']"
tokyo police club,"['canadian indie', 'canadian indie rock', 'indie rock', 'indietronica', 'ontario indie']"
scott brothers,[]
insan3lik3,['pop']
laszlo,[]
razihel,['gaming edm']
holder,['social media pop']
mendum,['gaming edm']
pegboard nerds,"['brostep', 'complextro', 'danish electronic', 'edm', 'electro house', 'glitch', 'speedrun']"
varien,"['chillstep', 'complextro', 'downtempo', 'filthstep', 'melodic dubstep']"
mr fijiwiji,"['chillstep', 'complextro', 'gaming edm']"
pylot,"['nightrun', 'synthwave']"
eminence,"['chillstep', 'gaming edm']"
direct,"['boy band', 'pop', 'post-teen pop', 'talent show']"
rameses b,"['chillstep', 'melodic dubstep']"
astronaut,['lo-fi cover']
day one,['funk metal']
garoad,['video game music']
capsule,"['japanese dance pop', 'japanese electropop', 'picopop']"
muffler,"['drum and bass', 'finnish edm', 'liquid funk']"
black gryph0n,"['otacore', 'pixel']"
kalafina,"['anime', 'j-pixie', 'shonen']"
hypotoria,['pixel']
amalee,['otacore']
subkulture,['future rock']
infinity shred,['chiptune']
gamechops,"['lo-fi vgm', 'pixel', 'vgm remix']"
philter,['norwegian house']
ultra sheriff,[]
drew skinner,[]
anzo,['italian jazz']
h3ctic,[]
vnv nation,"['ebm', 'futurepop']"
vitek,[]
8 bit weapon,"['8-bit', 'chiptune']"
nervo,"['australian dance', 'dutch house', 'edm', 'electra', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house']"
project 46,"['complextro', 'electro house', 'pop edm', 'progressive electro house']"
conro,"['canadian electronic', 'future bass', 'pop edm']"
loosid,['future bass']
san holo,"['brostep', 'edm', 'electro house', 'electronic trap', 'future bass', 'pop dance']"
noisestorm,"['dancefloor dnb', 'gaming edm', 'speedrun']"
beat service,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
lee osborne,['progressive uplifting trance']
nitrous oxide,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']"
the chainsmokers,['pop']
